,id,name,category,rating,reviews,price,zipcode,latitude,longitude,city,address1,address2,address3,display_address,postcode,area
1288,ZToDsutLJxHeqYlziH9Kzw,The Purty Kitchen  Night Pub,pub,3.5,4,1,,53.3449,-6.26379,Dublin,templebar,,,"['templebar', 'Dublin', 'Republic of Ireland']",D01 E8P4,D01
1289,ZUaUnbF6VtT3QZk0qyTorg,M. O'brien,pub,4.5,3,2,2,53.331362929721,-6.25122908502817,Ballsbridge,"8-9, Sussex Terrace",,,"['8-9, Sussex Terrace', 'Ballsbridge, 2', 'Republic of Ireland']",D04 VX52,D04
1290,34-fuWqqYOjB8K8Jhr8g8g,Annesley House,pub,4.5,3,1,3,53.35966,-6.24038,North Strand,70 North Strand Road,,,"['70 North Strand Road', 'North Strand, 3', 'Republic of Ireland']",D03 K8P4,D03
1291,JD39mqo9r0-aWurd3gDfBw,Lucky's,bar,4.5,3,,8,53.3415472,-6.2785613,Dublin,THE LIBERTIES,78 Meath Street,,"['THE LIBERTIES', '78 Meath Street', 'Dublin 8', 'Republic of Ireland']",D08 A318,D08
1292,vUsYkYPH5Cbq0CAbiNNvmg,Pimlico Tavern,pub,4.0,3,2,8,53.34002,-6.28081,Dublin,61 Pimlico,,,"['61 Pimlico', 'Dublin 8', 'Republic of Ireland']",D08 XH90,D08
1293,KSRyiZ2NG-D3703jAvfnog,Magic Glasses,bar,4.5,2,,2,53.3381736,-6.259119,Dublin,O'Callaghan Stephen's Green Hotel,Stephen's Green,,"[""O'Callaghan Stephen's Green Hotel"", ""Stephen's Green"", 'Dublin 2', 'Republic of Ireland']",D02 TK33,D02
1294,xgOPNv8eLoI46ARvNv9lxw,The Boom Boom Room,musicvenues,4.0,2,,1,53.35197,-6.2625,Dublin,Conways,70 Parnell St,,"['Conways', '70 Parnell St', 'Dublin 1', 'Republic of Ireland']",D01 R243,D01
1295,PSp_lZAkErG_UDc6mGBDGA,The Hut,pub,3.0,2,2,7,53.3592185974121,-6.26965999603271,Phibsboro,159 Phibsboro Road,,,"['159 Phibsboro Road', 'Phibsboro, 7', 'Republic of Ireland']",D01 T3F2,D01
1296,c3Ip4D5a5ogWoJc873aBbA,Shamrocker,pub,5.0,1,,2,53.34354,-6.26983,Dublin,2-12 Lord Edward Street,,,"['2-12 Lord Edward Street', 'Dublin 2', 'Republic of Ireland']",D08 AV24,D08
1297,5J-lxWeX5cpQnNzwga9qeg,The Mayson,bar,3.0,1,,D01 XR83,53.3473,-6.23263,Dublin,81 / 82 North Wall Quay,,,"['81 / 82 North Wall Quay', 'Dublin, D01 XR83', 'Republic of Ireland']",D01 F7X3,D01
1298,f0SZ4hzAeJcszScETGg1IQ,The Apothecary  Bar,bar,4.0,1,2,,53.3407777431927,-6.25945407897234,Dublin,Anne's Lane,,,"[""Anne's Lane"", 'Dublin', 'Republic of Ireland']",D02 X067,D02
